船名,类型,船龄,大小,人数,出发摘要,信息来源,正文摘录,高档舱型,高档IDR/人,高档双人CNY,中档舱型,中档IDR/人,中档双人CNY,低档舱型,低档IDR/人,低档双人CNY,链接
Sabira Superior Phinisi,Superior Phinisi,1年（2025年造）,17.5m × 4m,12,🔴周二→周四,正文写明,"Itinerary (Weekdays: Tuesday – Thursday, Weekends: Saturday – Monday)",Master Cabin - Upper Deck,4250000,3204,Private Cabin - Upper Deck,4050000,3054,Sharing Cabin 4 pax - Lower Deck,3050000,2300,https://www.komodotrips.com/open-trip-3d2n-by-sabira-superior-phinisi/
Dunia Baru Deluxe Phinisi,Deluxe Phinisi,未标明,51m × 12m,12,🔴周二→周四,正文写明,"Itinerary (Tuesday – Thursday, Saturday – Monday)",Master Cabin Full Ocean View - Upper Deck,5100000,3846,Private Cabin 270 Degrees Ocean View - Main Deck,4600000,3468,Sharing Cabin 4 Pax - Main Deck,3600000,2714,https://www.komodotrips.com/open-trip-3d2n-by-dunia-baru-deluxe-phinisi/
Aimar Always Deluxe Phinisi,Deluxe Phinisi,2年（2024年造）,27m × 6m,22,🔴周一→周三（5月也可周二→周四）,正文写明,"Itinerary (Monday – Wednesday / Tuesday – Thursday for May 2026, Friday – Sunday / Saturday – Monday for May 2026):",Master Cabin Private Balcony (Agung Cabin),8800000,6636,Deluxe Cabin (Semeru Cabin),7800000,5882,Share Cabin Bunk Bed (Bromo Cabin),4800000,3620,https://www.komodotrips.com/open-trip-3d2n-by-aimar-always-deluxe-phinisi/
Mosalaki Luxury Phinisi,Luxury Phinisi,未标明,未标明,12,🔴周二→周四,正文写明,"Itinerary (Tue – Thu, Fri – Sun):",Adonara Cabin (Upper Deck),12500000,9424,Lamalera Cabin (Main Deck),9500000,7164,Kelimutu Cabin (Share Cabin),5750000,4336,https://www.komodotrips.com/open-trip-3d2n-by-mosalaki-luxury-phinisi/
North Blue Superior Phinisi,Superior Phinisi,未标明,30m × 6m,18,周一→周三；约10:00–11:00,正文写明,– Start Trip: 10.00 – 11.00 AM (Monday),Master Cabin 1 - Upper Deck,4100000,3092,Sharing Cabin 1 with Private Bathroom,3100000,2338,Sharing Cabin with Sharing Bathroom,2900000,2186,https://www.komodotrips.com/open-trip-weekdays-by-north-blue-superior-phinisi/
Gajah Putih Deluxe Phinisi,Deluxe Phinisi,未标明,未标明,13,周一→周三（另有周末）；约11:00,正文写明,Komodo Open Trips 3 Days 2 Nights by Gajah Putih Deluxe Phinisi departs at 11.00 AM on Weekdays (Monday to Wednesday) and on weekend (Friday to Sunday ).,Cabin 1 -  Master Suite Cabin Sea View,4750000,3582,Cabin 4 - Deluxe Cabin Sea View,3750000,2828,Extra Pax for Master Suite Cabin Sea View,3000000,2262,https://www.komodotrips.com/open-trip-3d2n-by-gajah-putih-deluxe-phinisi/
Bombana 1 Superior Phinisi,Superior Phinisi,5年（2021年造）,23m × 4.6m,14,周一→周三（另有周末）,正文写明,"Itinerary (Friday – Sunday, Monday – Wednesday)",Master Cabin - Upper Deck,4450000,3356,Private Cabin with Balcony - Upper Deck,4050000,3054,Sharing Cabin 4 pax - Main Deck,3200000,2412,https://www.komodotrips.com/open-trip-3d2n-by-bombana-1-superior-phinisi/
Deden Putra Superior Phinisi,Superior Phinisi,0年（2026年造）,24m × 4.5m,14,周一→周三（另有周末）,正文写明,"Itinerary (Monday – Wednesday, Friday – Sunday, Start from April – October 2026):",Private Cabin 1,4650000,3506,Private Cabin 1,4650000,3506,Sharing Cabin Main Deck (Double Bed),3300000,2488,https://www.komodotrips.com/open-trip-3d2n-by-deden-putra-superior-phinisi/
My Moon Superior Phinisi,Superior Phinisi,5年（2021年造）,31.88m × 6.75m,23,周一→周三；约09:00–10:00,正文写明,– Start Trip: 09.00 – 10.00 AM (Monday),Master Cabin (Gili Lawa),4750000,3582,Master Cabin (Gili Lawa) - Additional Pax,3250000,2450,"Share Cabin Private Bathroom (Kelor, Manjarite, Sebayur)",3600000,2714,https://www.komodotrips.com/open-trip-3d2n-weekdays-by-my-moon-superior-phinisi/
New Pandawa Deluxe Phinisi,Deluxe Phinisi,未标明,19.2m × 3.8m,14,周一→周三；Every Monday,正文写明,Departure Every Monday 3D2N,Master Cabin - Upper Deck,5250000,3958,Family Cabin - Main Deck,4250000,3204,Sharing Cabin - Main Deck,3750000,2828,https://www.komodotrips.com/open-trip-weekdays-by-new-pandawa-deluxe-phinisi/
