
			
		初始特征值			提取平方和载入
成份	合计	方差的 %	累积 %	合计	方差的 %	累积 %
1	4.883	30.520	30.520	4.883	30.520	30.520
2	2.693	16.829	47.349	2.693	16.829	47.349
3	1.531	9.571	56.920	1.531	9.571	56.920
4	1.399	8.742	65.663	1.399	8.742	65.663
5	.999	6.243	71.906	.999	6.243	71.906
6	.985	6.156	78.061	.985	6.156	78.061
7	.665	4.154	82.216	.665	4.154	82.216
8	.633	3.954	86.170	.633	3.954	86.170
9	.561	3.504	89.674	.561	3.504	89.674
10	.480	3.000	92.674	.480	3.000	92.674
11	.313	1.957	94.630	.313	1.957	94.630
12	.279	1.745	96.375	.279	1.745	96.375
13	.262	1.638	98.013	.262	1.638	98.013
14	.181	1.131	99.144	.181	1.131	99.144
15	.137	.856	100.000	.137	.856	100.000
16	7.706E-17	4.816E-16	100.000			

